sid,lon,lat,date,s2,s3,ir0,ir1,ir2,ws1,ws2
e0b92e07,30.5495396,0.6545741,2023-01-11 09:31:13.309000+03:00,10,12,both_irrigated_non-irrigated,no,,no,
64808cdc,33.073656,0.610449,2023-01-11 10:15:44.126000+03:00,10,200,irrigated,no,,no,
922ac0b1,30.5273419,0.6264654,2023-01-11 10:43:59.274000+03:00,30,40,irrigated,no,,yes,tap_piped_water
10e081e4,34.2091019,0.6639669,2023-01-11 10:54:23.713000+03:00,75,100,irrigated,yes,furrows_canals wet_ground_ds green_crops_ds,yes,surface_water
bc7c5327,33.1102703,0.583762,2023-01-11 10:54:36.129000+03:00,4,21,irrigated,no,,no,
e014a86e,30.5257648,0.6261466,2023-01-11 10:55:45.618000+03:00,80,150,irrigated,yes,green_crops_ds,no,
9621a5e3,34.2090798,0.6641241,2023-01-11 10:58:09.033000+03:00,20,40,irrigated,yes,wet_ground_ds green_crops_ds furrows_canals,yes,surface_water
e1a9d346,34.2091125,0.6643493,2023-01-11 11:00:45.117000+03:00,30,55,irrigated,yes,wet_ground_ds furrows_canals,yes,surface_water
67a887cf,30.5669602,0.6131011,2023-01-11 11:01:12.914000+03:00,10,30,both_irrigated_non-irrigated,no,,no,
8c0b7bbe,34.2088433,0.6635386,2023-01-11 11:04:07.875000+03:00,25,35,irrigated,yes,wet_ground_ds furrows_canals green_crops_ds,yes,surface_water
148040f1,33.1100333,0.5842483,2023-01-11 11:06:55.246000+03:00,15,50,irrigated,no,,yes,shallow_well
9bd9f55c,34.2079267,0.6639452,2023-01-11 11:09:26.870000+03:00,15,30,irrigated,yes,wet_ground_ds green_crops_ds furrows_canals,yes,surface_water
e53af206,31.8520728,3.3474895,2023-01-11 11:12:03.746000+03:00,20,35,irrigated,yes,green_crops_ds,yes,shallow_well
976f74df,33.1079708,0.5864358,2023-01-11 11:23:44.840000+03:00,16,53,irrigated,no,,no,
dd494344,33.1078268,0.5858731,2023-01-11 11:28:13.357000+03:00,16,43,irrigated,no,,no,
